Subzone,Planning Area,Population
ADMIRALTY,Sembawang,13600
AIRPORT ROAD,Paya Lebar,0
ALEXANDRA HILL,Bukit Merah,13220
ALEXANDRA NORTH,Bukit Merah,2930
ALJUNIED,Geylang,43190
ANAK BUKIT,Bukit Timah,22640
ANCHORVALE,Sengkang,51120
ANG MO KIO TOWN CENTRE,Ang Mo Kio,4960
ANSON,Downtown Core,80
BAHAR,Western Water Catchment,0
BALESTIER,Novena,33040
BANGKIT,Bukit Panjang,21510
BAYFRONT SUBZONE,Downtown Core,0
BAYSHORE,Bedok,7890
BEDOK NORTH,Bedok,82770
BEDOK RESERVOIR,Bedok,25390
BEDOK SOUTH,Bedok,48910
BENCOOLEN,Rochor,1290
BENDEMEER,Kallang,37420
BENOI SECTOR,Pioneer,0
BIDADARI,Toa Payoh,3760
BISHAN EAST,Bishan,27780
BOAT QUAY,Singapore River,150
BOON KENG,Kallang,11230
BOON LAY PLACE,Jurong West,28590
BOON TECK,Toa Payoh,14680
BOULEVARD,Orchard,530
BRADDELL,Toa Payoh,9650
BRAS BASAH,Museum,10
BRICKLAND,Tengah,0
BRICKWORKS,Bukit Batok,30870
BUGIS,Downtown Core,950
BUKIT BATOK CENTRAL,Bukit Batok,27670
BUKIT BATOK EAST,Bukit Batok,12280
BUKIT BATOK SOUTH,Bukit Batok,14730
BUKIT BATOK WEST,Bukit Batok,14570
BUKIT HO SWEE,Bukit Merah,13740
BUKIT MERAH,Bukit Merah,1040
CAIRNHILL,Newton,4480
CECIL,Downtown Core,510
CENTRAL SUBZONE,Downtown Core,1330
CENTRAL WATER CATCHMENT,Central Water Catchment,0
CHANGI AIRPORT,Changi,0
CHANGI BAY,Changi Bay,0
CHANGI POINT,Changi,590
CHANGI WEST,Changi,1350
CHATSWORTH,Tanglin,7580
CHENG SAN,Ang Mo Kio,27280
CHIN BEE,Jurong West,0
CHINA SQUARE,Outram,1340
CHINATOWN,Outram,10200
CHOA CHU KANG CENTRAL,Choa Chu Kang,22390
CHOA CHU KANG NORTH,Choa Chu Kang,31360
CHONG BOON,Ang Mo Kio,25680
CITY HALL,Downtown Core,130
CITY TERMINALS,Bukit Merah,20
CLARKE QUAY,Singapore River,120
CLEANTECH,Western Water Catchment,0
CLEMENTI CENTRAL,Clementi,14780
CLEMENTI NORTH,Clementi,29400
CLEMENTI WEST,Clementi,14530
CLEMENTI WOODS,Clementi,18270
CLIFFORD PIER,Downtown Core,0
COMMONWEALTH,Queenstown,6700
COMPASSVALE,Sengkang,20810
CONEY ISLAND,Punggol,0
CORONATION ROAD,Bukit Timah,7180
CRAWFORD,Kallang,7930
DAIRY FARM,Bukit Panjang,7130
DEFU INDUSTRIAL PARK,Hougang,10
DEPOT ROAD,Bukit Merah,6500
DHOBY GHAUT,Museum,500
DOVER,Queenstown,11280
DUNEARN,Novena,4090
EAST COAST,Marine Parade,0
EVERTON PARK,Bukit Merah,7650
FABER,Clementi,5490
FAJAR,Bukit Panjang,26800
FARRER COURT,Bukit Timah,6700
FARRER PARK,Rochor,2570
FERNVALE,Sengkang,65590
FLORA DRIVE,Pasir Ris,15960
FOREST HILL,Tengah,10
FORT CANNING,Museum,210
FRANKEL,Bedok,35010
GALI BATU,Sungei Kadut,30
GARDEN,Tengah,0
GEYLANG BAHRU,Kallang,10650
GEYLANG EAST,Geylang,31440
GHIM MOH,Queenstown,13430
GOMBAK,Bukit Batok,9900
GOODWOOD PARK,Newton,1470
GREENWOOD PARK,Woodlands,100
GUILIN,Bukit Batok,12930
GUL BASIN,Pioneer,0
GUL CIRCLE,Pioneer,10
HENDERSON HILL,Bukit Merah,13000
HILLCREST,Bukit Timah,9900
HILLVIEW,Bukit Batok,19960
HOLLAND DRIVE,Queenstown,12210
HOLLAND ROAD,Bukit Timah,11560
HONG KAH,Jurong West,53380
HONG KAH NORTH,Bukit Batok,25660
HOUGANG CENTRAL,Hougang,4820
HOUGANG EAST,Hougang,24350
HOUGANG WEST,Hougang,44840
INSTITUTION HILL,River Valley,3750
INTERNATIONAL BUSINESS PARK,Jurong East,10
ISTANA NEGARA,Newton,50
JELEBU,Bukit Panjang,30430
JOO KOON,Pioneer,20
JOO SENG,Toa Payoh,8100
JURONG GATEWAY,Jurong East,570
JURONG ISLAND AND BUKOM,Western Islands,0
JURONG PORT,Jurong East,0
JURONG RIVER,Jurong East,10
JURONG WEST CENTRAL,Jurong West,62960
KAKI BUKIT,Bedok,35880
KALLANG BAHRU,Kallang,20
KALLANG WAY,Geylang,40
KAMPONG BUGIS,Kallang,1590
KAMPONG GLAM,Rochor,120
KAMPONG JAVA,Kallang,10430
KAMPONG TIONG BAHRU,Bukit Merah,8840
KAMPONG UBI,Geylang,12960
KANGKAR,Hougang,32950
KATONG,Marine Parade,9450
KEAT HONG,Choa Chu Kang,38990
KEBUN BAHRU,Ang Mo Kio,22250
KEMBANGAN,Bedok,36340
KENT RIDGE,Queenstown,80
KHATIB,Yishun,9880
KIAN TECK,Jurong West,50
KIM KEAT,Toa Payoh,7590
KOVAN,Hougang,25150
KRANJI,Sungei Kadut,0
LAKESIDE (BUSINESS),Jurong East,0
LAKESIDE (LEISURE),Jurong East,810
LAVENDER,Kallang,10160
LEEDON PARK,Bukit Timah,6710
LEONIE HILL,River Valley,3720
LIM CHU KANG,Lim Chu Kang,60
LITTLE INDIA,Rochor,3100
LIU FANG,Boon Lay,10
LORONG 8 TOA PAYOH,Toa Payoh,6900
LORONG AH SOO,Hougang,32110
LORONG CHUAN,Serangoon,8690
LORONG HALUS,Hougang,0
LORONG HALUS NORTH,Sengkang,0
LOWER SELETAR,Yishun,19160
LOYANG EAST,Pasir Ris,2120
LOYANG WEST,Pasir Ris,370
MACKENZIE,Rochor,140
MACPHERSON,Geylang,27120
MALCOLM,Novena,3230
MANDAI EAST,Mandai,0
MANDAI ESTATE,Mandai,2080
MANDAI WEST,Mandai,0
MARGARET DRIVE,Queenstown,24060
MARINA CENTRE,Downtown Core,20
MARINA EAST,Marina East,0
MARINA EAST (MP),Marine Parade,0
MARINA SOUTH,Marina South,0
MARINE PARADE,Marine Parade,26910
MARITIME SQUARE,Bukit Merah,4640
MARYMOUNT,Bishan,29260
MATILDA,Punggol,53340
MAXWELL,Downtown Core,0
MEI CHIN,Queenstown,16590
MIDVIEW,Woodlands,34580
MONK'S HILL,Newton,1200
MOULMEIN,Novena,10400
MOUNT EMILY,Rochor,2030
MOUNT PLEASANT,Novena,700
MOUNTBATTEN,Marine Parade,10260
MURAI,Western Water Catchment,590
NASSIM,Tanglin,10610
NATIONAL UNIVERSITY OF S'PORE,Queenstown,240
NATURE RESERVE,Bukit Panjang,4000
NEE SOON,Yishun,910
NEWTON CIRCUS,Newton,310
NICOLL,Downtown Core,320
NORTH COAST,Woodlands,11590
NORTH-EASTERN ISLANDS,North-Eastern Islands,40
NORTHLAND,Yishun,27280
NORTHSHORE,Punggol,14050
ONE NORTH,Queenstown,950
ONE TREE HILL,River Valley,2340
ORANGE GROVE,Newton,2030
OXLEY,River Valley,1620
PANDAN,Clementi,10
PANG SUA,Sungei Kadut,20
PARK,Tengah,0
PASIR PANJANG 1,Queenstown,4850
PASIR PANJANG 2,Queenstown,3270
PASIR RIS CENTRAL,Pasir Ris,32300
PASIR RIS DRIVE,Pasir Ris,52650
PASIR RIS PARK,Pasir Ris,7960
PASIR RIS WAFER FAB PARK,Pasir Ris,10
PASIR RIS WEST,Pasir Ris,35580
PATERSON,River Valley,310
PAYA LEBAR EAST,Paya Lebar,0
PAYA LEBAR NORTH,Paya Lebar,30
PAYA LEBAR WEST,Paya Lebar,0
PEARL'S HILL,Outram,5430
PEI CHUN,Toa Payoh,10090
PENG SIANG,Choa Chu Kang,34250
PENJURU CRESCENT,Jurong East,10
PEOPLE'S PARK,Outram,270
PHILLIP,Downtown Core,10
PIONEER SECTOR,Pioneer,10
PLAB,Paya Lebar,0
PLANTATION,Tengah,0
PORT,Queenstown,120
POTONG PASIR,Toa Payoh,12690
PULAU PUNGGOL BARAT,Seletar,0
PULAU PUNGGOL TIMOR,Seletar,0
PULAU SELETAR,Simpang,0
PUNGGOL CANAL,Punggol,0
PUNGGOL FIELD,Punggol,49010
PUNGGOL TOWN CENTRE,Punggol,24770
QUEENSWAY,Queenstown,280
RAFFLES PLACE,Downtown Core,40
REDHILL,Bukit Merah,11090
RESERVOIR VIEW,Sungei Kadut,10
RIDOUT,Tanglin,1560
RIVERVALE,Sengkang,59180
ROBERTSON QUAY,Singapore River,3770
ROCHOR CANAL,Rochor,0
SAFTI,Jurong West,0
SAMULUN,Boon Lay,10
SAUJANA,Bukit Panjang,25350
SELEGIE,Rochor,160
SELETAR,Seletar,280
SELETAR AEROSPACE PARK,Seletar,10
SELETAR HILLS,Serangoon,15480
SEMAKAU,Western Islands,0
SEMBAWANG CENTRAL,Sembawang,35600
SEMBAWANG EAST,Sembawang,21980
SEMBAWANG HILLS,Ang Mo Kio,6990
SEMBAWANG NORTH,Sembawang,25890
SEMBAWANG SPRINGS,Sembawang,9630
SEMBAWANG STRAITS,Sembawang,2400
SENGKANG TOWN CENTRE,Sengkang,61210
SENGKANG WEST,Sengkang,0
SENJA,Bukit Panjang,23730
SENNETT,Toa Payoh,16110
SENOKO NORTH,Sembawang,10
SENOKO SOUTH,Sembawang,20
SENOKO WEST,Woodlands,40
SENTOSA,Southern Islands,2350
SERANGOON CENTRAL,Serangoon,24020
SERANGOON GARDEN,Serangoon,36350
SERANGOON NORTH,Serangoon,15590
SERANGOON NORTH IND ESTATE,Serangoon,10
SHANGRI-LA,Ang Mo Kio,17630
SHIPYARD,Boon Lay,10
SIGLAP,Bedok,7320
SIMEI,Tampines,39050
SIMPANG NORTH,Simpang,0
SIMPANG SOUTH,Simpang,0
SINGAPORE GENERAL HOSPITAL,Bukit Merah,10
SINGAPORE POLYTECHNIC,Queenstown,120
SOMERSET,Orchard,170
SOUTHERN GROUP,Southern Islands,0
SPRINGLEAF,Yishun,4440
STRAITS VIEW,Straits View,0
SUDONG,Western Islands,0
SUNGEI ROAD,Rochor,1960
SUNSET WAY,Clementi,5520
SWISS CLUB,Bukit Timah,5950
TAGORE,Ang Mo Kio,7960
TAI SENG,Hougang,13300
TAMAN JURONG,Jurong West,39600
TAMPINES EAST,Tampines,126460
TAMPINES NORTH,Tampines,25680
TAMPINES WEST,Tampines,81370
TANGLIN,Orchard,530
TANGLIN HALT,Queenstown,5520
TANJONG IRAU,Simpang,0
TANJONG PAGAR,Downtown Core,870
TANJONG RHU,Kallang,11460
TEBAN GARDENS,Jurong East,17780
TECK WHYE,Choa Chu Kang,24430
TELOK BLANGAH DRIVE,Bukit Merah,19390
TELOK BLANGAH RISE,Bukit Merah,11780
TELOK BLANGAH WAY,Bukit Merah,8590
TENGAH INDUSTRIAL ESTATE,Tengah,0
TENGEH,Tuas,0
THE WHARVES,Sembawang,0
TIONG BAHRU,Bukit Merah,12240
TIONG BAHRU STATION,Bukit Merah,14870
TOA PAYOH CENTRAL,Toa Payoh,27570
TOA PAYOH WEST,Toa Payoh,14120
TOH GUAN,Jurong East,14120
TOH TUCK,Clementi,20
TOWNSVILLE,Ang Mo Kio,20210
TRAFALGAR,Hougang,50080
TUAS BAY,Tuas,10
TUAS NORTH,Tuas,20
TUAS PROMENADE,Tuas,10
TUAS VIEW,Tuas,20
TUAS VIEW EXTENSION,Tuas,10
TUKANG,Boon Lay,10
TURF CLUB,Sungei Kadut,680
TYERSALL,Tanglin,4140
ULU PANDAN,Bukit Timah,11470
UPPER PAYA LEBAR,Serangoon,18650
UPPER THOMSON,Bishan,31090
VICTORIA,Rochor,1700
WATERWAY EAST,Punggol,53580
WENYA,Jurong West,8280
WEST COAST,Clementi,10100
WOODGROVE,Woodlands,33130
WOODLANDS EAST,Woodlands,100220
WOODLANDS REGIONAL CENTRE,Woodlands,0
WOODLANDS SOUTH,Woodlands,40270
WOODLANDS WEST,Woodlands,35460
WOODLEIGH,Toa Payoh,3350
XILIN,Tampines,1810
YEW TEE,Choa Chu Kang,40070
YIO CHU KANG,Ang Mo Kio,10
YIO CHU KANG EAST,Ang Mo Kio,4400
YIO CHU KANG NORTH,Ang Mo Kio,0
YIO CHU KANG WEST,Ang Mo Kio,23820
YISHUN CENTRAL,Yishun,2960
YISHUN EAST,Yishun,70190
YISHUN SOUTH,Yishun,41920
YISHUN WEST,Yishun,52160
YUHUA EAST,Jurong East,24070
YUHUA WEST,Jurong East,18800
YUNNAN,Jurong West,66890
